date,median_sfh_price_past_3_months,,
1/31/2012,516000,,
2/29/2012,520000,,
3/31/2012,520000,,
4/30/2012,520000,,
5/31/2012,524000,,
6/30/2012,558000,,
7/31/2012,576000,,
8/31/2012,590000,,
9/30/2012,595000,,
10/31/2012,593000,,
11/30/2012,585000,,
12/31/2012,585000,,
1/31/2013,603000,,
2/28/2013,615000,,
3/31/2013,615000,,
4/30/2013,650000,,
5/31/2013,645000,,
6/30/2013,655000,,
7/31/2013,650000,,
8/31/2013,668000,,
9/30/2013,650000,,
10/31/2013,650000,,
11/30/2013,650000,,
12/31/2013,700000,,
1/31/2014,763000,,
2/28/2014,793000,,
3/31/2014,737000,,
4/30/2014,735000,,
5/31/2014,716000,,
6/30/2014,711000,,
7/31/2014,715000,,
8/31/2014,740000,,
9/30/2014,755000,,
10/31/2014,790000,,
11/30/2014,778000,,
12/31/2014,749000,,
1/31/2015,690000,,
2/28/2015,700000,,
3/31/2015,747000,,
4/30/2015,775000,,
5/31/2015,815000,,
6/30/2015,840000,,
7/31/2015,889000,,
8/31/2015,900000,,
9/30/2015,895000,,
10/31/2015,910000,,
11/30/2015,875000,,
12/31/2015,900000,,
1/31/2016,863000,,
2/29/2016,942000,,
3/31/2016,895000,,
4/30/2016,895000,,
5/31/2016,882000,,
6/30/2016,900000,,
7/31/2016,920000,,
8/31/2016,920000,,
9/30/2016,895000,,
10/31/2016,899000,,
11/30/2016,897000,,
12/31/2016,912000,,
1/31/2017,885000,,
2/28/2017,893000,,
3/31/2017,950000,,
4/30/2017,995000,,
5/31/2017,1000000,,
6/30/2017,1001000,,
7/31/2017,1000000,,
8/31/2017,1000000,,
